method,rmse_mean,rmse_std,mae_mean,mase_mean,n_evals
Moving Average,0.004991773545853471,0.004138210900801218,0.004788888888888886,15.946096409918377,3
Gradient Boosting,0.005153896537142759,0.004176752706548222,0.004956253905760038,16.507423684029643,3
Random Forest,0.005164204409446856,0.004189659103170875,0.004961499999999995,16.523096997926803,3
Exponential Smoothing,0.005433412821485197,0.004328467429739895,0.005246108977939854,17.463789166319085,3
Croston's,0.006281038410775923,0.004879858282261006,0.006118083702127118,20.361305364015724,3
Croston's (SBA),0.009826373728430307,0.004867229196938163,0.009702179517020766,32.35237877684343,3
