method,rmse,mae,mase,n_series
Random Forest,42.99254457649163,38.11013888888889,1.4799367516616777,48
Exponential Smoothing,43.4862703322403,38.50532263581336,1.3289431512847958,48
Moving Average,44.84798424702118,39.84722222222222,1.3671607486085366,48
LSTM,47.25522458683556,42.396246904100636,1.8455406868345163,48
Gradient Boosting,48.58481476058687,42.87310449546561,1.6252534319823726,48
MLP,54.80594449334749,50.21218723720975,3.223435061976881,48
Croston's,62.58062250630953,57.54691032074652,2.1686538069821846,48
Croston's (SBA),70.53851784824664,65.2951161360062,2.53169412506359,48
