method,rmse_mean,rmse_std,mae_mean,mase_mean,n_evals
Moving Average,0.7710258895339989,0.3298493122312316,0.6874111111111111,0.8743208893627437,4
Exponential Smoothing,1.1163793815347072,0.4343944998754355,0.9882330552500014,1.245262953646758,4
Random Forest,1.7207802922997413,0.6123198510676771,1.5083039166666696,2.0855852606988385,4
Gradient Boosting,1.7856023915739754,0.6312439533760213,1.5083780845526924,2.058338753480501,4
Croston's,2.152533153737899,0.5673729563710941,2.0956269552500006,2.7267722699279062,4
Croston's (SBA),2.540418588228429,0.6556508517024713,2.492053107487501,3.236280068743513,4
