method,rmse_mean,rmse_std,mae_mean,mase_mean,n_evals
Croston's (SBA),8.675232077122084,6.562433713105122,7.656705730999024,0.9121827450220584,18
Exponential Smoothing,10.476148048393059,8.492254089402731,9.564576055964416,1.1485565515972604,18
Moving Average,10.709659208176687,8.929057518195004,9.778703703703703,1.1532502734758256,18
Random Forest,10.727424642931915,7.710285038801727,9.789014814814843,1.168016263971356,18
Gradient Boosting,11.606747717042051,7.842756791471659,10.579318392304305,1.2772726385317792,18
Croston's,16.67299430556733,8.684115204309476,15.926520292309078,1.9650581335375987,18
