method,rmse_mean,rmse_std,mae_mean,mase_mean,n_evals
Moving Average,43.086873985702724,67.16801835186988,38.87407407407407,1.1690470595296147,135
Exponential Smoothing,45.20083657648914,65.21529683595794,40.88533208616693,1.2497814821954338,135
Random Forest,46.29359573592305,74.16648993342102,41.34752415458938,1.3269849370480207,138
Gradient Boosting,49.949069368522146,82.74225949528228,45.47053830408606,1.4372438627060886,138
Croston's,69.08892764762932,83.23335295815355,64.44923204223247,2.1996099234184068,135
Croston's (SBA),72.10667696716857,97.81795734956329,67.3051577511424,2.2737124476847446,135
