method,rmse,mae,mase,n_series
Moving Average,0.7710258895339989,0.6874111111111111,0.8743208893627437,4
Exponential Smoothing,1.1163793815347072,0.9882330552500014,1.245262953646758,4
Random Forest,1.7207802922997413,1.5083039166666696,2.0855852606988385,4
Gradient Boosting,1.7856023915739754,1.5083780845526924,2.058338753480501,4
Croston's,2.152533153737899,2.0956269552500006,2.7267722699279062,4
LSTM,2.173396128894829,1.9350528304234147,2.6791706920775695,4
Croston's (SBA),2.540418588228429,2.492053107487501,3.236280068743513,4
MLP,7.820875049944658,7.727112468067805,9.90625694658151,4
