method,rmse,mae,mase,n_series
Random Forest,11.789649171746632,10.664655555555557,1.274936997253455,6
Croston's (SBA),11.974885077051665,10.577938226440748,1.259388018841496,6
Gradient Boosting,12.587737337495989,11.535734612008213,1.421955297267407,6
Moving Average,14.788251020877913,13.815925925925926,1.556954787881769,6
LSTM,14.9506206654505,13.819642619554784,1.7074226910133874,6
Exponential Smoothing,15.387842874737553,14.397237616971921,1.676701204949441,6
Croston's,21.8962494963294,20.912260909278476,2.5666212547710985,6
MLP,84.81649437204028,76.35097886827256,9.306740475258662,6
