method,feature_set,rmse,mae,mase
Random Forest,simple,42.99254457649163,38.11013888888889,1.4799367516616777
Random Forest,rich,42.12134511770676,37.325138888888894,1.6310194300419254
Gradient Boosting,simple,48.58481476058687,42.87310449546561,1.6252534319823726
Gradient Boosting,rich,43.920636459524026,37.33495970713043,1.5584358289023972
MLP,simple,49.776797236343505,45.20241154564752,2.4918578996088785
MLP,rich,72.15745662789207,65.86518806881375,5.774408979860278
