method,rmse,mae,mase,n_series
MLP,0.0076440047596393924,0.007302366884549462,24.210268151196253,1
Moving Average,0.010828255220076365,0.010266666666666665,34.038108047522954,1
Gradient Boosting,0.011033084989583232,0.010482475743864147,34.75360149108959,1
Random Forest,0.011069739175638466,0.010516499999999906,34.86640551445831,1
LSTM,0.01140293308141151,0.010896904641389852,36.12759911368658,1
Exponential Smoothing,0.011554402721040361,0.01102984839303416,36.56836084576892,1
Croston's,0.013156104942571079,0.012697890793091448,42.098588843268864,1
Croston's (SBA),0.01668193254261571,0.01632299625343688,54.11726397407113,1
